,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Job Title
29, Not Disclosed by Recruiter ,5 - 10 yrs, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator
30, Not Disclosed by Recruiter ,8 - 10 yrs, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Management,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software
32, Not Disclosed by Recruiter ,6 - 8 yrs,Java| java api| Banking| j2ee| API| finance| core java| microservices,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
33, Not Disclosed by Recruiter ,2 - 7 yrs,GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead
35, Not Disclosed by Recruiter ,2 - 5 yrs, Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Logistics,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive
36, Not Disclosed by Recruiter ,2 - 3 yrs, filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant
37, Not Disclosed by Recruiter ,0 - 3 yrs, Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
38, Not Disclosed by Recruiter ,15 - 20 yrs, Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,Technical Support,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager
39, Not Disclosed by Recruiter ,10 - 16 yrs,4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Programming & Design,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect
40, Not Disclosed by Recruiter,2 - 7 Years,arm processor|c|device drivers|embedded linux|linux kernel|ipc,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
42, Not Disclosed by Recruiter ,0 - 3 yrs, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
43,"1,00,000 - 4,00,000 PA.",1 - 4 yrs, fixed assets| accounts payable| record to report| general accounting| general ledger,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
44, Not Disclosed by Recruiter ,3 - 6 yrs, Team management| Regional sales| Management,Retail Sales,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager
45, Not Disclosed by Recruiter ,10 - 15 yrs, Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce,Senior Management,"Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales
46, Not Disclosed by Recruiter ,5 - 10 yrs, ODI| Matrix,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
47, Not Disclosed by Recruiter ,2 - 4 yrs, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
48, Not Disclosed by Recruiter ,5 - 8 yrs, Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
49, Not Disclosed by Recruiter ,2 - 5 yrs, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
50,"2,00,000 - 3,75,000 PA.",1 - 4 yrs, cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
51, Not Disclosed by Recruiter ,2 - 5 yrs, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,Programming & Design,IT Software - Mobile,"IT-Software, Software Services",Software Developer
52, Not Disclosed by Recruiter ,8 - 13 yrs, Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Team Leader -(NonTechnical)
54,"4,00,000 - 6,00,000 PA.",3 - 8 yrs, Automobile| Digital Content| Content Development| Production| Web Content Writing,Content Development,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
55,"10,00,000 - 12,00,000 PA.",6 - 10 yrs, Tourism| target achievement| negotiation skills| revenue management| Tour Packages,Retail Sales,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales/Business Development Manager
56, Not Disclosed by Recruiter ,1 - 5 yrs, PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,Programming & Design,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
60, Not Disclosed by Recruiter ,2 - 5 yrs, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,Admin/Maintenance/Security/Datawarehousing,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA
61, Not Disclosed by Recruiter ,1 - 4 yrs, Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive
63, Not Disclosed by Recruiter ,5 - 10 yrs, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,Programming & Design,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer
65, Not Disclosed by Recruiter ,7 - 12 yrs, Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,Senior Management,"Sales , Retail , Business Development","Real Estate, Property",Head/VP/GM/National Manager -Sales
66, Not Disclosed by Recruiter ,2 - 5 yrs, Facility Management| facility services,Health & Fitness,Beauty / Fitness / Spa Services,Facility Management,Centre Head / Branch Head / Club Manager
67,"3,00,000 - 7,00,000 PA.",1 - 5 yrs,sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
68, Not Disclosed by Recruiter ,5 - 7 yrs, Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
69, Not Disclosed by Recruiter ,0 - 2 yrs, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive
70, Not Disclosed by Recruiter ,4 - 9 yrs, revenue generation| marketing| ad sales| web technologies,Corporate Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
71, Not Disclosed by Recruiter ,1 - 2 yrs, co ordination| team management| drafting| loans| online| coordination| quality,Architectural Services,"Architecture , Interior Design","BPO, Call Centre, ITeS",Project Architect
72, Not Disclosed by Recruiter ,3 - 4 yrs, English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,Programming & Design,IT Software - Other,"Recruitment, Staffing",Software Developer
73, Not Disclosed by Recruiter ,6 - 11 yrs, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
74, Not Disclosed by Recruiter ,4 - 8 yrs,National| Branch| Vice President| J2Ee| Software,Programming & Design,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer
75, Not Disclosed by Recruiter ,1 - 5 yrs, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
76, Not Disclosed by Recruiter ,3 - 8 yrs, Performance Testing| Software Testing| Manual Testing| Quality Testing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
78,"1,75,000 - 3,00,000 PA.",0 - 5 yrs, international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
79, Not Disclosed by Recruiter ,2 - 4 yrs, Innovative| Aggressive,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
80, Not Disclosed by Recruiter ,7 - 12 yrs, Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,Engineering Design,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Design Engineer
81, Not Disclosed by Recruiter ,1 - 3 yrs, design| android| erp| software| mvc| quality,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
82, Not Disclosed by Recruiter ,4 - 7 yrs, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,QA/Testing/Documentation,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer
83, Not Disclosed by Recruiter ,3 - 7 yrs, Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,Engineering Design,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer
84, Not Disclosed by Recruiter ,2 - 6 yrs, Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,Retail Sales,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales/Business Development Manager
85, Not Disclosed by Recruiter ,1 - 6 yrs, Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
86,"5,00,000 - 7,50,000 PA.",2 - 7 yrs, Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
87, Not Disclosed by Recruiter ,1 - 5 yrs, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
88, Not Disclosed by Recruiter ,12 - 22 yrs, zld| Engineering Management| knitting,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Engineering Manager
89, Not Disclosed by Recruiter ,0 - 3 yrs, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant
90, Not Disclosed by Recruiter ,8 - 12 yrs, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Training Manager
91, Not Disclosed by Recruiter ,0 - 1 yrs, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
92, Not Disclosed by Recruiter ,2 - 5 yrs, C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
93, Not Disclosed by Recruiter ,1 - 2 yrs, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
94, Not Disclosed by Recruiter ,15 - 22 yrs, Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal,Corporate Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
95, Not Disclosed by Recruiter ,8 - 10 yrs, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
96, Not Disclosed by Recruiter ,2 - 7 yrs, Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,Creative,"Design , Creative , User Experience","Architecture, Interior Design",Graphic Designer
97, Not Disclosed by Recruiter ,1 - 3 yrs, Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
98, Not Disclosed by Recruiter ,2 - 6 yrs, Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing Executive
99,Openings: 1,1 - 3 Years,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,Channel Sales,"Sales , Retail , Business Development",IT-Software / Software Services,Sales Executive / Officer
100, Not Disclosed by Recruiter ,2 - 5 yrs, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
101, No bar for right candidate ,1 - 5 yrs,technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
103,"3,00,000 - 5,00,000 PA.",2 - 4 yrs, Project Administration| Coordination,Sales Support,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator
104, Not Disclosed by Recruiter ,5 - 10 yrs, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,System Design/Implementation/ERP/CRM,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect
105, Not Disclosed by Recruiter ,3 - 5 yrs, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
106, Not Disclosed by Recruiter ,4 - 8 yrs, NCTVT,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician
107, Not Disclosed by Recruiter ,8 - 13 yrs, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
108, Not Disclosed by Recruiter ,3 - 7 yrs, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,Retail Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer
110, Not Disclosed by Recruiter ,6 - 8 yrs,AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager
111, Not Disclosed by Recruiter ,3 - 5 yrs, Automation Engineer,Engineering Design,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead
112,"3,75,000 - 8,75,000 PA.",5 - 10 yrs, Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical)
114, Not Disclosed by Recruiter ,2 - 6 yrs, Voice process| qaqc| Writing| Process operations| Verbal,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive
117, Not Disclosed by Recruiter ,4 - 9 yrs, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & BI,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager
118, Not Disclosed by Recruiter ,0 - 0 yrs, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Trainee
119, Not Disclosed by Recruiter ,3 - 5 yrs, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant
120, Salary based on % ,1 - 6 yrs, Informatica Power Center| Informatica,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
121,"2,25,000 - 4,25,000 PA.",2 - 4 yrs, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist
122,"2,00,000 - 3,75,000 PA.",5 - 10 yrs, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager
123, Not Disclosed by Recruiter ,5 - 10 yrs, Forecasting,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Financial Analyst
124, Not Disclosed by Recruiter ,3 - 7 yrs, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist
125,"2,00,000 - 3,00,000 PA.",0 - 2 yrs, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative
126, Not Disclosed by Recruiter ,2 - 6 yrs, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance
127,"8,00,000 - 12,00,000 PA.",6 - 11 yrs, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,Public Relations,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager
128, Not Disclosed by Recruiter ,0 - 1 yrs, counselling| couselling| fresher| student counsellor| student counseling,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Fresher
129, Not Disclosed by Recruiter ,0 - 2 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Other,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Fresher
130, Not Disclosed by Recruiter ,2 - 7 yrs, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
131, Not Disclosed by Recruiter ,0 - 4 yrs, Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling,Other,Analytics & Business Intelligence,"Real Estate, Property",Other
132, Not Disclosed by Recruiter ,10 - 12 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Lecturer/Professor
133, Not Disclosed by Recruiter ,3 - 5 yrs, X - Ray| Medical Transcription| Ultrasound| CT Scan,Drug Regulatory Affairs/Documentation,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Medical, Healthcare, Hospitals",Documentation/Medical Writing
134, Not Disclosed by Recruiter ,0 - 3 yrs, cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
135, Not Disclosed by Recruiter ,1 - 2 yrs, Sales| Management| Sales management| Educational sales,Retail Sales,"Sales , Retail , Business Development","Education, Teaching, Training",Sales/Business Development Manager
